Week,Top 1,Top 2,Top 3,Date
0,4,14,14,2012-10-07
1,7,15,18,2012-10-14
2,5,12,15,2012-10-21
3,5,15,12,2012-10-28
4,4,12,12,2012-11-04
5,4,14,10,2012-11-11
6,4,12,12,2012-11-18
7,7,14,15,2012-11-25
8,4,17,15,2012-12-02
9,3,14,10,2012-12-09
10,5,9,11,2012-12-16
11,7,13,11,2012-12-23
12,6,14,14,2012-12-30
13,4,11,11,2013-01-06
14,4,13,16,2013-01-13
15,5,16,15,2013-01-20
16,4,16,13,2013-01-27
17,4,18,14,2013-02-03
18,5,14,15,2013-02-10
19,3,19,15,2013-02-17
20,3,19,13,2013-02-24
21,6,18,13,2013-03-03
22,4,20,16,2013-03-10
23,5,16,15,2013-03-17
24,3,14,16,2013-03-24
25,5,18,18,2013-03-31
26,5,15,15,2013-04-07
27,4,17,18,2013-04-14
28,5,17,15,2013-04-21
29,4,14,16,2013-04-28
30,3,19,14,2013-05-05
31,4,15,14,2013-05-12
32,4,20,15,2013-05-19
33,3,16,16,2013-05-26
34,4,16,17,2013-06-02
35,5,16,15,2013-06-09
36,3,16,12,2013-06-16
37,4,20,13,2013-06-23
38,3,16,12,2013-06-30
39,5,16,13,2013-07-07
40,3,16,14,2013-07-14
41,4,14,15,2013-07-21
42,4,18,15,2013-07-28
43,4,16,14,2013-08-04
44,4,20,17,2013-08-11
45,6,17,18,2013-08-18
46,3,18,14,2013-08-25
47,3,17,16,2013-09-01
48,4,18,16,2013-09-08
49,4,15,16,2013-09-15
50,6,18,13,2013-09-22
51,5,17,14,2013-09-29
52,6,15,17,2013-10-06
53,6,16,15,2013-10-13
54,6,17,16,2013-10-20
55,5,16,16,2013-10-27
56,4,15,14,2013-11-03
57,3,13,14,2013-11-10
58,6,14,17,2013-11-17
59,5,18,13,2013-11-24
60,4,15,11,2013-12-01
61,5,11,18,2013-12-08
62,5,14,13,2013-12-15
63,4,10,13,2013-12-22
64,3,14,13,2013-12-29
65,5,15,13,2014-01-05
66,3,14,18,2014-01-12
67,5,15,14,2014-01-19
68,6,16,16,2014-01-26
69,4,16,15,2014-02-02
70,5,17,17,2014-02-09
71,3,17,15,2014-02-16
72,4,20,16,2014-02-23
73,4,20,18,2014-03-02
74,4,21,17,2014-03-09
75,5,19,16,2014-03-16
76,5,22,16,2014-03-23
77,3,22,23,2014-03-30
78,5,19,16,2014-04-06
79,3,21,17,2014-04-13
80,4,22,21,2014-04-20
81,4,18,23,2014-04-27
82,4,17,20,2014-05-04
83,5,20,24,2014-05-11
84,4,21,24,2014-05-18
85,5,21,21,2014-05-25
86,5,20,23,2014-06-01
87,3,21,26,2014-06-08
88,4,20,25,2014-06-15
89,3,21,23,2014-06-22
90,4,21,21,2014-06-29
91,4,20,25,2014-07-06
92,5,21,27,2014-07-13
93,4,23,27,2014-07-20
94,5,23,27,2014-07-27
95,5,23,19,2014-08-03
96,4,18,22,2014-08-10
97,5,16,21,2014-08-17
98,4,21,19,2014-08-24
99,6,22,20,2014-08-31
100,5,17,21,2014-09-07
101,6,19,17,2014-09-14
102,4,17,16,2014-09-21
103,6,21,21,2014-09-28
104,3,17,20,2014-10-05
105,5,19,21,2014-10-12
106,5,23,19,2014-10-19
107,4,19,14,2014-10-26
108,3,16,16,2014-11-02
109,5,17,15,2014-11-09
110,5,16,18,2014-11-16
111,5,15,18,2014-11-23
112,5,13,14,2014-11-30
113,6,16,19,2014-12-07
114,6,15,15,2014-12-14
115,5,11,13,2014-12-21
116,6,13,20,2014-12-28
117,6,15,17,2015-01-04
118,5,15,16,2015-01-11
119,5,16,15,2015-01-18
120,5,23,15,2015-01-25
121,5,21,20,2015-02-01
122,4,20,20,2015-02-08
123,5,18,20,2015-02-15
124,4,21,20,2015-02-22
125,3,18,23,2015-03-01
126,4,24,22,2015-03-08
127,3,19,19,2015-03-15
128,5,21,26,2015-03-22
129,5,21,24,2015-03-29
130,6,22,26,2015-04-05
131,7,24,29,2015-04-12
132,8,26,27,2015-04-19
133,8,24,27,2015-04-26
134,6,19,31,2015-05-03
135,7,26,32,2015-05-10
136,6,22,26,2015-05-17
137,7,25,30,2015-05-24
138,8,22,29,2015-05-31
139,8,29,29,2015-06-07
140,7,27,30,2015-06-14
141,6,29,29,2015-06-21
142,5,29,34,2015-06-28
143,8,32,27,2015-07-05
144,8,27,29,2015-07-12
145,10,30,28,2015-07-19
146,11,28,27,2015-07-26
147,10,26,25,2015-08-02
148,11,29,29,2015-08-09
149,11,26,23,2015-08-16
150,11,27,30,2015-08-23
151,12,27,23,2015-08-30
152,10,26,24,2015-09-06
153,13,25,24,2015-09-13
154,17,26,21,2015-09-20
155,17,27,21,2015-09-27
156,15,26,21,2015-10-04
157,17,23,25,2015-10-11
158,18,21,23,2015-10-18
159,18,24,22,2015-10-25
160,15,19,20,2015-11-01
161,17,22,22,2015-11-08
162,15,20,31,2015-11-15
163,20,22,28,2015-11-22
164,23,25,23,2015-11-29
165,19,26,22,2015-12-06
166,18,25,17,2015-12-13
167,19,20,18,2015-12-20
168,26,24,21,2015-12-27
169,24,23,23,2016-01-03
170,21,25,25,2016-01-10
171,29,26,24,2016-01-17
172,27,25,23,2016-01-24
173,27,27,29,2016-01-31
174,26,25,31,2016-02-07
175,26,30,27,2016-02-14
176,29,41,30,2016-02-21
177,28,38,29,2016-02-28
178,27,42,28,2016-03-06
179,29,45,32,2016-03-13
180,26,40,31,2016-03-20
181,29,51,32,2016-03-27
182,26,48,30,2016-04-03
183,26,53,32,2016-04-10
184,25,52,34,2016-04-17
185,26,67,36,2016-04-24
186,26,61,38,2016-05-01
187,23,64,32,2016-05-08
188,23,67,41,2016-05-15
189,23,74,37,2016-05-22
190,22,77,32,2016-05-29
191,19,88,39,2016-06-05
192,19,78,37,2016-06-12
193,24,83,40,2016-06-19
194,26,92,34,2016-06-26
195,23,84,32,2016-07-03
196,23,97,33,2016-07-10
197,20,98,38,2016-07-17
198,24,91,39,2016-07-24
199,23,93,37,2016-07-31
200,19,91,28,2016-08-07
201,24,82,29,2016-08-14
202,18,78,32,2016-08-21
203,21,80,34,2016-08-28
204,21,86,33,2016-09-04
205,21,87,28,2016-09-11
206,24,81,29,2016-09-18
207,21,67,25,2016-09-25
208,23,70,26,2016-10-02
209,24,72,28,2016-10-09
210,23,61,27,2016-10-16
211,20,60,28,2016-10-23
212,20,48,27,2016-10-30
213,18,52,26,2016-11-06
214,21,55,25,2016-11-13
215,25,58,27,2016-11-20
216,28,61,25,2016-11-27
217,18,61,27,2016-12-04
218,19,55,22,2016-12-11
219,21,48,25,2016-12-18
220,27,57,24,2016-12-25
221,20,45,20,2017-01-01
222,23,49,24,2017-01-08
223,22,48,29,2017-01-15
224,24,48,25,2017-01-22
225,20,54,31,2017-01-29
226,18,55,24,2017-02-05
227,19,51,24,2017-02-12
228,21,59,28,2017-02-19
229,21,70,32,2017-02-26
230,21,66,31,2017-03-05
231,22,72,31,2017-03-12
232,22,72,31,2017-03-19
233,19,80,32,2017-03-26
234,23,81,35,2017-04-02
235,18,98,30,2017-04-09
236,22,90,38,2017-04-16
237,24,80,36,2017-04-23
238,19,82,36,2017-04-30
239,19,80,36,2017-05-07
240,19,88,40,2017-05-14
241,16,97,37,2017-05-21
242,21,100,41,2017-05-28
243,19,86,42,2017-06-04
244,20,96,43,2017-06-11
245,17,97,39,2017-06-18
246,18,95,37,2017-06-25
247,21,88,39,2017-07-02
248,21,92,40,2017-07-09
249,19,89,37,2017-07-16
250,19,96,37,2017-07-23
251,20,87,35,2017-07-30
252,19,77,36,2017-08-06
253,20,74,35,2017-08-13
254,19,73,34,2017-08-20
255,17,74,36,2017-08-27
256,18,72,35,2017-09-03
257,17,67,37,2017-09-10
258,18,66,32,2017-09-17
259,19,62,31,2017-09-24
260,20,78,27,2017-10-01
